step,loss
1,6.32607
2,7.84307
3,6.44856
4,5.38079
5,3.93809
6,4.1155
7,3.09025
8,2.14241
9,2.11193
10,1.94327
11,1.70605
12,1.32528
13,1.35326
14,1.06722
15,1.0036
16,1.10511
17,1.08522
18,0.910295
19,0.871947
20,0.779759
21,0.816511
22,0.649093
23,0.774164
24,0.837267
25,0.804062
26,0.881781
27,0.712993
28,0.699465
29,0.614883
30,0.665445
31,0.881502
32,0.612417
33,0.671548
34,0.563974
35,0.611836
36,0.495921
37,0.686235
38,0.622233
39,0.616665
40,0.656616
41,0.771597
42,0.612241
43,0.590903
44,0.637432
45,0.590474
46,0.491892
47,0.595065
48,0.599245
49,0.586681
50,0.636611
51,0.702089
52,0.625693
53,0.567138
54,0.591332
55,0.533005
56,0.451073
57,0.499454
58,0.65252
59,0.557025
60,0.496654
61,0.634601
62,0.411871
63,0.464431
64,0.596222
65,0.610196
66,0.47414
67,0.650934
68,0.59869
69,0.46953
70,0.6221
71,0.548648
72,0.559729
73,0.561962
74,0.450026
75,0.508887
76,0.48386
77,0.527221
78,0.585356
79,0.427777
80,0.53935
81,0.569993
82,0.554622
83,0.554723
84,0.489006
85,0.560315
86,0.505815
87,0.487404
88,0.421628
89,0.455818
90,0.400812
91,0.537426
92,0.422569
93,0.481412
94,0.363396
95,0.458245
96,0.493984
97,0.546023
98,0.418419
99,0.528941
100,0.336532
101,0.473315
102,0.538996
103,0.415056
104,0.462535
105,0.487335
106,0.414477
107,0.390057
108,0.515269
109,0.46764
110,0.559501
111,0.508029
112,0.48068
113,0.369112
114,0.473192
115,0.475079
116,0.527846
117,0.461168
118,0.455608
119,0.413619
120,0.401455
121,0.439454
122,0.483468
123,0.361647
124,0.441767
125,0.37641
126,0.445694
127,0.350547
128,0.499702
129,0.42267
130,0.566434
131,0.401281
132,0.399303
133,0.364998
134,0.506024
135,0.564982
136,0.497195
137,0.460889
138,0.415908
139,0.35907
140,0.389856
141,0.482729
142,0.593855
143,0.401131
144,0.454607
145,0.657239
146,0.469801
147,0.473585
148,0.407785
149,0.480714
150,0.436658
151,0.274105
152,0.365942
153,0.406994
154,0.36449
155,0.441369
156,0.379514
157,0.409861
158,0.471439
159,0.398942
160,0.460805
161,0.482048
162,0.410551
163,0.557364
164,0.334164
165,0.416028
166,0.423278
167,0.484883
168,0.34591
169,0.40714
170,0.38022
171,0.440047
172,0.418782
173,0.478389
174,0.456239
175,0.419025
176,0.389121
177,0.418671
178,0.464053
179,0.424147
180,0.427649
181,0.460664
182,0.445517
183,0.484608
184,0.487438
185,0.429839
186,0.280846
187,0.349122
188,0.335613
189,0.383552
190,0.351762
191,0.319768
192,0.413472
193,0.395478
194,0.376648
195,0.361221
196,0.399181
197,0.364852
198,0.455158
199,0.346156
200,0.413747
201,0.462114
202,0.419664
203,0.447319
204,0.361698
205,0.416177
206,0.370932
207,0.451016
208,0.471664
209,0.313194
210,0.357294
211,0.347104
212,0.390277
213,0.394837
214,0.433705
215,0.405005
216,0.384479
217,0.405463
218,0.402841
219,0.388918
220,0.439001
221,0.466176
222,0.439097
223,0.33623
224,0.392862
225,0.402729
226,0.364479
227,0.314843
228,0.510701
229,0.390551
230,0.458834
231,0.446518
232,0.544882
233,0.446971
234,0.426565
235,0.457518
236,0.327938
237,0.395053
238,0.376099
239,0.370859
240,0.384117
241,0.327171
242,0.419308
243,0.409945
244,0.35736
245,0.35589
246,0.430624
247,0.319106
248,0.359201
249,0.390032
250,0.33502
251,0.369118
252,0.38835
253,0.360911
254,0.454841
255,0.357931
256,0.434002
257,0.328026
258,0.41264
259,0.404805
260,0.359009
261,0.369511
262,0.467976
263,0.385638
264,0.436676
265,0.400599
266,0.437363
267,0.32459
268,0.268023
269,0.30993
270,0.283145
271,0.383337
272,0.458099
273,0.366709
274,0.430672
275,0.377885
276,0.410042
277,0.355555
278,0.421313
279,0.408507
280,0.358235
281,0.47815
282,0.427336
283,0.400209
284,0.332152
285,0.41622
286,0.416438
287,0.30252
288,0.369051
289,0.525984
290,0.365565
291,0.432136
292,0.344769
293,0.419632
294,0.309864
295,0.327338
296,0.428969
297,0.34887
298,0.363877
299,0.371523
300,0.370504
301,0.408802
